run,pipes,stages,samples,max_copy,scheduler,buffer,time
3,6,21,200000000,512,flow,slab,10.009384062
3,6,21,200000000,512,smol1,circ,50.294199357
3,6,21,200000000,512,smol1,slab,32.746617777
3,6,21,200000000,512,smoln,circ,22.452157479
3,6,21,200000000,512,smoln,slab,14.611097997
3,6,23,200000000,512,flow,circ,14.038464413
3,6,23,200000000,512,flow,slab,11.962731537
3,6,23,200000000,512,smol1,circ,54.826004208
3,6,23,200000000,512,smol1,slab,36.339718341
3,6,23,200000000,512,smoln,circ,24.133665097
3,6,23,200000000,512,smoln,slab,15.97143653
3,6,3,200000000,512,flow,circ,2.865184991
3,6,3,200000000,512,flow,slab,0.871746184
3,6,3,200000000,512,smol1,circ,10.550592291
3,6,3,200000000,512,smol1,slab,3.505889817
3,6,3,200000000,512,smoln,circ,5.22931287
3,6,3,200000000,512,smoln,slab,2.348971657
3,6,5,200000000,512,flow,circ,3.7833902310000003
3,6,5,200000000,512,flow,slab,1.394259685
3,6,5,200000000,512,smol1,circ,14.583328607
3,6,5,200000000,512,smol1,slab,5.803325518
3,6,5,200000000,512,smoln,circ,7.163640153
3,6,5,200000000,512,smoln,slab,3.727674496
3,6,7,200000000,512,flow,circ,4.720073612
3,6,7,200000000,512,flow,slab,2.028887342
3,6,7,200000000,512,smol1,circ,18.927219599
3,6,7,200000000,512,smol1,slab,8.316698465
3,6,7,200000000,512,smoln,circ,8.934514172
3,6,7,200000000,512,smoln,slab,4.9892495629999996
3,6,9,200000000,512,flow,circ,5.785521402
3,6,9,200000000,512,flow,slab,2.67310816
3,6,9,200000000,512,smol1,circ,22.971232642
3,6,9,200000000,512,smol1,slab,10.953987381
3,6,9,200000000,512,smoln,circ,10.82909646
3,6,9,200000000,512,smoln,slab,6.197708498
4,6,11,200000000,512,flow,circ,6.787254823
4,6,11,200000000,512,flow,slab,3.722162131
4,6,11,200000000,512,smol1,circ,27.70925506
4,6,11,200000000,512,smol1,slab,14.511257463
4,6,11,200000000,512,smoln,circ,12.62847796
4,6,11,200000000,512,smoln,slab,7.567063024
4,6,1,200000000,512,flow,circ,1.908567729
4,6,1,200000000,512,flow,slab,0.351244962
4,6,1,200000000,512,smol1,circ,6.469480168
4,6,1,200000000,512,smol1,slab,1.363023627
4,6,1,200000000,512,smoln,circ,3.307085789
4,6,1,200000000,512,smoln,slab,0.994922494
4,6,13,200000000,512,flow,circ,8.353660982
4,6,13,200000000,512,flow,slab,4.258449132
4,6,13,200000000,512,smol1,circ,31.844435494
4,6,13,200000000,512,smol1,slab,18.051089621
4,6,13,200000000,512,smoln,circ,14.709760108
4,6,13,200000000,512,smoln,slab,8.975774008
4,6,15,200000000,512,flow,circ,8.721364312
4,6,15,200000000,512,flow,slab,5.321869791
4,6,15,200000000,512,smol1,circ,36.694813936
4,6,15,200000000,512,smol1,slab,21.96297612
4,6,15,200000000,512,smoln,circ,16.215612082
4,6,15,200000000,512,smoln,slab,10.195931018
4,6,17,200000000,512,flow,circ,9.924579669
4,6,17,200000000,512,flow,slab,7.711004943
4,6,17,200000000,512,smol1,circ,40.64981316
4,6,17,200000000,512,smol1,slab,25.87527051
4,6,17,200000000,512,smoln,circ,17.936799945
4,6,17,200000000,512,smoln,slab,11.648875282
4,6,19,200000000,512,flow,circ,11.042159291
4,6,19,200000000,512,flow,slab,8.505611729
4,6,19,200000000,512,smol1,circ,45.942990512
4,6,19,200000000,512,smol1,slab,29.097539217
4,6,19,200000000,512,smoln,circ,20.11342681
4,6,19,200000000,512,smoln,slab,13.202672163
4,6,21,200000000,512,flow,circ,12.874543227
4,6,21,200000000,512,flow,slab,10.488942046
4,6,21,200000000,512,smol1,circ,50.481215264
4,6,21,200000000,512,smol1,slab,32.335996013
4,6,21,200000000,512,smoln,circ,22.157552679
4,6,21,200000000,512,smoln,slab,14.867011201
4,6,23,200000000,512,flow,circ,14.274486662
4,6,23,200000000,512,flow,slab,12.042657306
4,6,23,200000000,512,smol1,circ,55.10665286
4,6,23,200000000,512,smol1,slab,35.964583368
4,6,23,200000000,512,smoln,circ,24.023535273
4,6,23,200000000,512,smoln,slab,16.150329801
4,6,3,200000000,512,flow,circ,2.77550683
4,6,3,200000000,512,flow,slab,0.880508553
4,6,3,200000000,512,smol1,circ,10.688122762
4,6,3,200000000,512,smol1,slab,3.50598471
4,6,3,200000000,512,smoln,circ,5.319550689
4,6,3,200000000,512,smoln,slab,2.370268381
4,6,5,200000000,512,flow,circ,3.76065518
4,6,5,200000000,512,flow,slab,1.425095327
4,6,5,200000000,512,smol1,circ,14.670643362
4,6,5,200000000,512,smol1,slab,5.673696749
4,6,5,200000000,512,smoln,circ,7.125955912
4,6,5,200000000,512,smoln,slab,3.743202485
4,6,7,200000000,512,flow,circ,4.878181308
4,6,7,200000000,512,flow,slab,2.065181379
4,6,7,200000000,512,smol1,circ,19.139074875
4,6,7,200000000,512,smol1,slab,8.310017273
4,6,7,200000000,512,smoln,circ,9.07670323
4,6,7,200000000,512,smoln,slab,5.209382279
4,6,9,200000000,512,flow,circ,6.003222947
4,6,9,200000000,512,flow,slab,2.663198404
4,6,9,200000000,512,smol1,circ,23.208159272
4,6,9,200000000,512,smol1,slab,11.357726503
4,6,9,200000000,512,smoln,circ,10.842855301
4,6,9,200000000,512,smoln,slab,6.269665731
5,6,11,200000000,512,flow,circ,7.238318571
5,6,11,200000000,512,flow,slab,3.463868553
5,6,11,200000000,512,smol1,circ,27.399999045
5,6,11,200000000,512,smol1,slab,14.468472942
5,6,11,200000000,512,smoln,circ,12.65221712
5,6,11,200000000,512,smoln,slab,7.63254502
5,6,1,200000000,512,flow,circ,1.754511168
5,6,1,200000000,512,flow,slab,0.359892546
5,6,1,200000000,512,smol1,circ,6.5054628260000005
5,6,1,200000000,512,smol1,slab,1.363871981
5,6,1,200000000,512,smoln,circ,3.27738523
5,6,1,200000000,512,smoln,slab,0.998819984
5,6,13,200000000,512,flow,circ,8.236002208
5,6,13,200000000,512,flow,slab,4.2486381699999995
5,6,13,200000000,512,smol1,circ,31.921265733
5,6,13,200000000,512,smol1,slab,18.271003636
5,6,13,200000000,512,smoln,circ,14.649686205
5,6,13,200000000,512,smoln,slab,8.858452401
5,6,15,200000000,512,flow,circ,9.419749353
5,6,15,200000000,512,flow,slab,5.444766539
5,6,15,200000000,512,smol1,circ,36.410900605
5,6,15,200000000,512,smol1,slab,21.64834272
5,6,15,200000000,512,smoln,circ,16.338922175
5,6,15,200000000,512,smoln,slab,10.30409895
5,6,17,200000000,512,flow,circ,9.997663389
5,6,17,200000000,512,flow,slab,7.177256134
